failure_category,task,method,phase4_sr,phase4_gcr,example_trace,phase5_design_addresses_it
E_action_precondition_failure,watch tv,ProgPrompt-Full,0,0.16666666666666663,"find('remotecontrol'): <character> (1) is not close to <remotecontrol> (452) when executing ""[FIND] <remotecontrol> (452) [0]"" | find('remotecontrol'): <character> (1) is not close to <remotecontrol> (452) when executing ""[FIND] <remotecontrol> (452) [0]"",<character> (1) is not close to <remotecontrol> (452) when executing ""[FIND] <remotecontrol> (452) [0]""","Yes: generic precondition guidance, current state, verification, and Retry-1 address it; failures remain possible."
A_benchmark_goal_artifact,watch tv,HPAF-Decomp-Static,0,0.33333333333333337,Official missing set contains only endpoint artifacts: character CLOSE tv | character CLOSE tvstand | tv CLOSE character | tvstand CLOSE character,Yes: Phase 5 retains official scores and adds a pre-frozen semantic evaluator.
B_decomposition_granularity_error,watch tv,HPAF-Decomp-Static,0,0.33333333333333337,First-level prerequisite task(s): Locate the remote control used to operate the television | Position yourself in a suitable seating location (such as the sofa) to view the television,Yes: TaskAgent is restricted to verifiable semantic state transitions.
C_impossible_or_unrepresentable_goal,watch tv,HPAF-Decomp-Static,0,0.33333333333333337,No stable graph-level completion for: Watch the television that is now powered on,Partly: illegal decompositions are rejected; unavoidable task-level ambiguities are frozen and disclosed.
E_action_precondition_failure,watch tv,HPAF-Decomp-Static,0,0.33333333333333337,"sit('sofa'): <character> (1) is sitting when executing ""[SIT] <sofa> (368) [0]"" | watch('tv'): <character> (1) is sitting when executing ""[SIT] <sofa> (368) [0]"",char room <livingroom> (335) is not node room <kitchen> (205) when executing ""[WATCH] <tv> (264) [0]""","Yes: generic precondition guidance, current state, verification, and Retry-1 address it; failures remain possible."
I_stale_state_generation_error,watch tv,HPAF-Decomp-Static,0,0.33333333333333337,"sit('sofa'): <character> (1) is sitting when executing ""[SIT] <sofa> (368) [0]"" | watch('tv'): <character> (1) is sitting when executing ""[SIT] <sofa> (368) [0]"",char room <livingroom> (335) is not node room <kitchen> (205) when executing ""[WATCH] <tv> (264) [0]""",Yes: Static is removed; Hierarchical generation always receives current state.
A_benchmark_goal_artifact,turn off light,ProgPrompt-Full,0,0.5,Official missing set contains only endpoint artifacts: character INSIDE bathroom,Yes: Phase 5 retains official scores and adds a pre-frozen semantic evaluator.
J_recovery_parser_error,turn off light,ProgPrompt-Full,0,0.5,else: find('lightswitch'): hallucinated action: else | else: switchon('lightswitch'): hallucinated action: else,Yes: Phase-5 interpreter preserves and explicitly parses assertion/recovery branches.
A_benchmark_goal_artifact,turn off light,HPAF-Decomp-Static,0,0.5,Official missing set contains only endpoint artifacts: character INSIDE bathroom,Yes: Phase 5 retains official scores and adds a pre-frozen semantic evaluator.
J_recovery_parser_error,brush teeth,ProgPrompt-Full,0,0.6363636363636364,else: find('toothbrush'): hallucinated action: else | else: grab('toothbrush'): hallucinated action: else,Yes: Phase-5 interpreter preserves and explicitly parses assertion/recovery branches.
