set,task_id,task,split,scene,evaluator_type,gt_action_length,horizon,atomic_count,unique_manipulated_object_count,manipulated_objects,progprompt_sr,flat_sr,full_sr
regression,test_unseen::turn_off_light,turn off light,test_unseen,0,persistent_state,3,Short,1,1,lightswitch,1,1,1
regression,test_unseen::throw_away_apple,throw away apple,test_unseen,0,persistent_state,8,Medium,1,1,apple,1,1,1
regression,test_unseen::put_salmon_in_the_fridge,put salmon in the fridge,test_unseen,0,persistent_state,8,Medium,1,1,salmon,1,1,1
regression,test_unseen::wash_the_plate,wash the plate,test_unseen,0,persistent_state,18,Long,1,1,plate,1,0,1
regression,test_unseen::bring_coffeepot_and_cupcake_to_the_coffee_table,bring coffeepot and cupcake to the coffee table,test_unseen,0,persistent_state,8,Medium,2,2,coffeepot;cupcake,0,1,1
regression,test_unseen::microwave_salmon,microwave salmon,test_unseen,0,persistent_state,11,Long,2,2,microwave;salmon,1,1,1
regression,"test_unseen_ambiguous_goals::collect_4_fruits_such_as_apple,_banana,_etc_in_the_dishbowl","collect 4 fruits such as apple, banana, etc in the dishbowl",test_unseen_ambiguous_goals,0,persistent_state,14,Long,4,4,apple;bananas;peach;plum,1,1,1
regression,env1::turn_off_tablelamp,turn off tablelamp,env1,1,persistent_state,2,Short,1,1,tablelamp,1,1,1
regression,env1::put_the_soap_in_the_bathroomcabinet,put the soap in the bathroomcabinet,env1,1,persistent_state,6,Medium,1,1,barsoap,1,1,1
regression,env1::throw_away_plum,throw away plum,env1,1,persistent_state,6,Medium,1,1,plum,1,1,1
regression,env1::bring_my_book_to_the_sofa,bring my book to the sofa,env1,1,persistent_state,4,Short,1,1,book,0,1,1
regression,env1::put_chicken_in_the_fridge,put chicken in the fridge,env1,1,persistent_state,6,Medium,1,1,chicken,1,1,1
regression,env1::bring_coffeepot_and_peach_to_the_coffee_table,bring coffeepot and peach to the coffee table,env1,1,persistent_state,7,Medium,2,2,coffeepot;peach,0,1,1
regression,env1::microwave_chicken,microwave chicken,env1,1,persistent_state,13,Long,2,2,chicken;microwave,1,0,1
regression,env2::open_the_curtains,open the curtains,env2,2,persistent_state,2,Short,1,1,curtains,1,1,1
regression,env2::turn_on_tv,turn on tv,env2,2,persistent_state,2,Short,1,1,tv,1,1,1
regression,env2::put_the_soap_in_the_bathroomcabinet,put the soap in the bathroomcabinet,env2,2,persistent_state,6,Medium,1,1,barsoap,1,1,1
regression,env2::throw_away_bananas,throw away bananas,env2,2,persistent_state,6,Medium,1,1,bananas,1,1,1
regression,env2::bring_my_book_to_the_sofa,bring my book to the sofa,env2,2,persistent_state,4,Short,1,1,book,1,1,1
regression,env2::put_milk_in_the_fridge,put milk in the fridge,env2,2,persistent_state,6,Medium,1,1,milk,1,1,1
confirmatory,test_unseen::watch_tv,watch tv,test_unseen,0,generic_trace,3,Short,1,1,tv,1,1,1
confirmatory,test_unseen::make_toast,make toast,test_unseen,0,generic_trace,8,Medium,2,2,breadslice;toaster,1,0,0
confirmatory,env1::watch_tv,watch tv,env1,1,generic_trace,2,Short,3,2,sofa;tv,0,0,0
confirmatory,env1::make_toast,make toast,env1,1,generic_trace,6,Medium,2,2,breadslice;toaster,1,0,0
confirmatory,env1::wash_the_dishbowl_in_dishwasher,wash the dishbowl in dishwasher,env1,1,generic_trace,10,Medium,2,2,dishbowl;dishwasher,0,0,0
confirmatory,env2::make_toast,make toast,env2,2,generic_trace,6,Medium,2,2,breadslice;toaster,1,0,0
confirmatory,env2::wash_the_cutlery_in_dishwasher,wash the cutlery in dishwasher,env2,2,generic_trace,10,Medium,3,3,cutleryfork;cutleryknife;dishwasher,0,0,0
confirmatory,env2::make_coffee_in_coffeemaker,make coffee in coffeemaker,env2,2,generic_trace,4,Short,2,2,coffeemaker;coffeepot,0,0,0
confirmatory,env2::heat_salmon_on_the_stove,heat salmon on the stove,env2,2,generic_trace,7,Medium,2,2,salmon;stove,0,0,0
