task_id,task,split,horizon,gt_action_length,progprompt_sr,progprompt_exec,progprompt_tokens,progprompt_calls,flat_sr,flat_exec,flat_tokens,flat_calls,full_sr,full_exec,full_tokens,full_calls
test_unseen::turn_off_light,turn off light,test_unseen,Short,3,1,0.8,2762,3,1,1.0,2611,2,1,1.0,3588,3
test_unseen::throw_away_apple,throw away apple,test_unseen,Medium,8,1,0.9090909090909091,5136,9,1,1.0,2470,2,1,1.0,3381,3
test_unseen::put_salmon_in_the_fridge,put salmon in the fridge,test_unseen,Medium,8,1,0.9230769230769231,5081,9,1,1.0,2469,2,1,1.0,3422,3
test_unseen::wash_the_plate,wash the plate,test_unseen,Long,18,1,0.9285714285714286,7548,14,1,1.0,3023,2,1,1.0,4013,3
test_unseen::bring_coffeepot_and_cupcake_to_the_coffee_table,bring coffeepot and cupcake to the coffee table,test_unseen,Medium,8,1,1.0,5532,9,1,1.0,2744,2,1,0.9,8472,7
test_unseen::microwave_salmon,microwave salmon,test_unseen,Long,11,1,0.782608695652174,8284,17,1,1.0,2958,2,1,1.0,6524,5
"test_unseen_ambiguous_goals::collect_4_fruits_such_as_apple,_banana,_etc_in_the_dishbowl","collect 4 fruits such as apple, banana, etc in the dishbowl",test_unseen_ambiguous_goals,Long,14,0,0.7391304347826086,7233,12,0,1.0,3250,2,1,1.0,9960,9
env1::turn_off_tablelamp,turn off tablelamp,env1,Short,2,1,0.75,2699,3,1,1.0,1918,2,1,1.0,2837,3
env1::put_the_soap_in_the_bathroomcabinet,put the soap in the bathroomcabinet,env1,Medium,6,1,1.0,4990,9,1,1.0,2198,2,1,1.0,3012,3
env1::throw_away_plum,throw away plum,env1,Medium,6,1,1.0,4984,9,0,0.75,2104,2,1,0.8333333333333334,5552,5
env1::bring_my_book_to_the_sofa,bring my book to the sofa,env1,Short,4,0,1.0,3534,5,1,1.0,1977,2,1,1.0,2930,3
env1::put_chicken_in_the_fridge,put chicken in the fridge,env1,Medium,6,1,1.0,4841,9,0,0.4,2704,2,1,1.0,2989,3
env1::bring_coffeepot_and_peach_to_the_coffee_table,bring coffeepot and peach to the coffee table,env1,Medium,7,0,0.9333333333333333,4571,7,1,1.0,2582,2,1,1.0,5222,5
env1::microwave_chicken,microwave chicken,env1,Long,13,1,0.875,10585,19,0,0.8,2474,2,0,0.625,6068,5
env2::open_the_curtains,open the curtains,env2,Short,2,1,1.0,2622,3,1,1.0,1705,2,1,1.0,2620,3
env2::turn_on_tv,turn on tv,env2,Short,2,1,1.0,3217,3,1,1.0,1859,2,1,1.0,2691,3
env2::put_the_soap_in_the_bathroomcabinet,put the soap in the bathroomcabinet,env2,Medium,6,1,0.9,5133,9,1,1.0,2245,2,1,1.0,3165,3
env2::throw_away_bananas,throw away bananas,env2,Medium,6,1,0.9090909090909091,5091,9,0,0.75,2198,2,1,0.8333333333333334,5630,5
env2::bring_my_book_to_the_sofa,bring my book to the sofa,env2,Short,4,0,1.0,3580,5,1,1.0,1884,2,1,1.0,2825,3
env2::put_milk_in_the_fridge,put milk in the fridge,env2,Medium,6,1,0.9166666666666666,4887,9,1,1.0,2273,2,1,1.0,3187,3
