task,method,difficulty_bucket,ground_truth_action_length,official_sr,official_gcr,exec,semantic_sr,semantic_gcr,llm_calls,prompt_tokens,completion_tokens,total_tokens,planning_latency_s,program_length,number_of_atomic_tasks,atomic_tasks_attempted,retry_count,early_stop_count,verified_but_stopped_count,error_type
watch tv,ProgPrompt-GraphCompatible,Short,3,0,0.33333333333333337,0.8181818181818182,1,1.0,7,3732,812,4544,38.172618711999974,11,0,0,0,0,0,precondition_failure
watch tv,HPAF-Flat,Short,3,1,1.0,1.0,1,1.0,1,1581,67,1648,3.0832119730000045,3,0,0,0,0,0,
watch tv,HPAF-Hierarchical,Short,3,0,0.8333333333333334,1.0,1,1.0,1,1596,39,1635,1.9831473890000098,2,1,1,0,0,0,
turn off light,ProgPrompt-GraphCompatible,Short,3,0,0.5,0.8,1,1.0,3,2526,239,2765,13.682175201999996,5,0,0,0,0,0,precondition_failure
turn off light,HPAF-Flat,Short,3,0,0.5,1.0,1,1.0,1,1583,52,1635,3.085890864000021,2,0,0,0,0,0,
turn off light,HPAF-Hierarchical,Short,3,0,0.5,1.0,1,1.0,1,1599,55,1654,2.135326472999992,2,1,1,0,0,0,
brush teeth,ProgPrompt-GraphCompatible,Medium,8,0,0.6363636363636364,0.8235294117647058,0,0.0,17,6766,1864,8630,110.05831853299989,17,0,0,0,0,0,precondition_failure
brush teeth,HPAF-Flat,Medium,8,1,1.0,1.0,1,1.0,1,1593,130,1723,4.701139783999963,7,0,0,0,0,0,
brush teeth,HPAF-Hierarchical,Medium,8,1,1.0,1.0,1,1.0,1,1619,93,1712,2.7332729210000366,5,1,1,0,0,0,
throw away apple,ProgPrompt-GraphCompatible,Medium,8,1,1.0,0.9166666666666666,1,1.0,9,4326,802,5128,36.26141488899992,12,0,0,0,0,0,precondition_failure
throw away apple,HPAF-Flat,Medium,8,1,1.0,1.0,1,1.0,1,1592,102,1694,4.299873323999975,5,0,0,0,0,0,
throw away apple,HPAF-Hierarchical,Medium,8,1,1.0,1.0,1,1.0,1,1609,96,1705,3.2962377590000074,5,1,1,0,0,0,
make toast,ProgPrompt-GraphCompatible,Medium,8,1,1.0,0.9090909090909091,0,0.5,9,4336,976,5312,43.70435794499997,11,0,0,0,0,0,precondition_failure
make toast,HPAF-Flat,Medium,8,0,0.0,1.0,1,1.0,1,1611,69,1680,2.274653019000027,2,0,0,0,0,0,
make toast,HPAF-Hierarchical,Medium,8,0,0.0,1.0,1,1.0,2,3261,147,3408,8.142744440000001,6,2,2,0,0,0,
eat chips on the sofa,ProgPrompt-GraphCompatible,Short,5,0,0.875,1.0,1,1.0,4,2831,284,3115,12.860599395000008,9,0,0,0,0,0,
eat chips on the sofa,HPAF-Flat,Short,5,1,1.0,0.8333333333333334,1,1.0,1,1592,113,1705,4.010926975999951,6,0,0,0,0,0,precondition_failure
eat chips on the sofa,HPAF-Hierarchical,Short,5,0,0.625,1.0,1,1.0,1,1608,67,1675,2.691416258000004,3,1,1,0,0,0,
put salmon in the fridge,ProgPrompt-GraphCompatible,Medium,8,1,1.0,1.0,1,1.0,9,4315,1272,5587,51.97082772700003,13,0,0,0,0,0,
put salmon in the fridge,HPAF-Flat,Medium,8,1,1.0,1.0,1,1.0,1,1594,92,1686,3.2965352979999807,5,0,0,0,0,0,
put salmon in the fridge,HPAF-Hierarchical,Medium,8,1,1.0,1.0,1,1.0,1,1611,93,1704,3.4398996270000453,5,1,1,0,0,0,
wash the plate,ProgPrompt-GraphCompatible,Long,18,0,0.7272727272727273,0.9259259259259259,1,1.0,14,5804,2559,8363,94.56827399600013,27,0,0,0,0,0,precondition_failure
wash the plate,HPAF-Flat,Long,18,0,0.4545454545454546,1.0,1,1.0,1,1584,152,1736,4.9628005460000395,10,0,0,0,0,0,
wash the plate,HPAF-Hierarchical,Long,18,0,0.4545454545454546,1.0,1,1.0,1,1603,134,1737,5.051671774000056,7,1,1,0,0,0,
bring coffeepot and cupcake to the coffee table,ProgPrompt-GraphCompatible,Medium,8,0,0.75,0.9375,1,1.0,9,4369,1200,5569,44.63751528099988,16,0,0,0,0,0,precondition_failure
bring coffeepot and cupcake to the coffee table,HPAF-Flat,Medium,8,0,0.8125,1.0,1,1.0,1,1632,181,1813,5.154414112999916,8,0,0,0,0,0,
bring coffeepot and cupcake to the coffee table,HPAF-Hierarchical,Medium,8,0,0.8125,0.9,1,1.0,3,4753,267,5020,14.19582742600005,10,2,2,1,0,0,precondition_failure
microwave salmon,ProgPrompt-GraphCompatible,Long,11,0,0.33333333333333337,0.9,1,1.0,17,6935,1359,8294,67.46090999799992,20,0,0,0,0,0,precondition_failure
microwave salmon,HPAF-Flat,Long,11,0,0.0,1.0,1,1.0,1,1584,141,1725,4.805252742999983,6,0,0,0,0,0,
microwave salmon,HPAF-Hierarchical,Long,11,0,0.0,1.0,1,1.0,2,3235,168,3403,17.75922820100004,7,2,2,0,0,0,
